,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100158,9,1630171,Isaac Okoro,1610612739,Cleveland Cavaliers,1,11,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-9,1,1,20211110,CLE,WAS
1,Shot Chart Detail,0022100158,11,1628398,Kyle Kuzma,1610612764,Washington Wizards,1,11,7,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-116,95,1,1,20211110,CLE,WAS
2,Shot Chart Detail,0022100158,12,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,1,10,51,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-72,31,1,0,20211110,CLE,WAS
3,Shot Chart Detail,0022100158,18,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,1,10,18,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,65,1,0,20211110,CLE,WAS
4,Shot Chart Detail,0022100158,20,203078,Bradley Beal,1610612764,Washington Wizards,1,10,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,107,69,1,0,20211110,CLE,WAS
5,Shot Chart Detail,0022100158,24,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,9,46,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-244,-4,1,0,20211110,CLE,WAS
6,Shot Chart Detail,0022100158,26,1628398,Kyle Kuzma,1610612764,Washington Wizards,1,9,41,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,0,20211110,CLE,WAS
7,Shot Chart Detail,0022100158,29,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,9,26,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,23,1,0,20211110,CLE,WAS
8,Shot Chart Detail,0022100158,31,1629655,Daniel Gafford,1610612764,Washington Wizards,1,9,14,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,77,24,1,0,20211110,CLE,WAS
9,Shot Chart Detail,0022100158,33,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,1,9,2,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-50,37,1,0,20211110,CLE,WAS
10,Shot Chart Detail,0022100158,36,203484,Kentavious Caldwell-Pope,1610612764,Washington Wizards,1,8,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,197,1,0,20211110,CLE,WAS
11,Shot Chart Detail,0022100158,38,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,1,8,40,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,0,20211110,CLE,WAS
12,Shot Chart Detail,0022100158,47,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,8,2,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-62,106,1,1,20211110,CLE,WAS
